customer_id,transaction_count,avg_transaction_amount,max_transaction_amount,min_transaction_amount,total_transaction_amount,total_credit_transactions,total_debit_transactions,fraud_transactions,fraud_ratio
3984,2,3547.655,4281.39,2813.92,7095.31,1,1,1,0.5
2850,1,1616.03,1616.03,1616.03,1616.03,0,0,0,0.0
1798,2,3709.95,4409.01,3010.89,7419.9,0,1,0,0.0
1489,1,790.27,790.27,790.27,790.27,0,0,0,0.0
1269,1,1617.18,1617.18,1617.18,1617.18,1,0,0,0.0
2335,3,3305.423333333333,4379.05,1516.1,9916.27,0,0,0,0.0
4790,1,4215.37,4215.37,4215.37,4215.37,0,0,0,0.0
1560,1,4259.62,4259.62,4259.62,4259.62,0,1,0,0.0
3936,2,3246.315,3870.75,2621.88,6492.63,0,1,0,0.0
2574,2,1504.7,2649.91,359.49,3009.4,1,1,0,0.0
1898,2,2550.71,4130.99,970.43,5101.42,1,1,0,0.0
3817,1,4286.33,4286.33,4286.33,4286.33,0,1,0,0.0
3407,1,3702.03,3702.03,3702.03,3702.03,1,0,0,0.0
4326,1,1706.47,1706.47,1706.47,1706.47,0,0,0,0.0
2614,2,2749.46,4624.38,874.54,5498.92,1,0,0,0.0
2196,2,2710.49,4892.6,528.38,5420.98,0,2,0,0.0
1750,3,2599.516666666667,2797.83,2343.8,7798.55,1,2,0,0.0
4321,2,2069.305,3234.65,903.96,4138.61,2,0,0,0.0
1136,2,2588.275,4045.71,1130.84,5176.55,1,0,0,0.0
4056,1,1880.48,1880.48,1880.48,1880.48,1,0,0,0.0
4683,3,2733.4933333333333,4779.74,279.5,8200.48,0,2,1,0.3333
4741,1,4505.44,4505.44,4505.44,4505.44,0,1,0,0.0
3935,3,3273.173333333333,4746.35,1884.03,9819.52,1,1,1,0.3333
1831,3,1941.0333333333333,3949.71,870.55,5823.1,1,2,0,0.0
1331,1,4931.05,4931.05,4931.05,4931.05,0,0,0,0.0
2784,3,4073.286666666667,4596.13,3526.03,12219.86,2,0,0,0.0
3793,1,2119.2,2119.2,2119.2,2119.2,0,0,0,0.0
1552,3,2016.29,3814.5,1033.7,6048.87,3,0,0,0.0
1589,4,2645.6275,4146.99,558.88,10582.51,0,1,0,0.0
3725,1,4938.15,4938.15,4938.15,4938.15,0,0,0,0.0
1811,2,2149.48,2231.19,2067.77,4298.96,1,1,0,0.0
2125,3,859.4933333333333,1020.79,675.11,2578.48,0,3,0,0.0
2204,1,774.23,774.23,774.23,774.23,0,1,0,0.0
1373,1,1616.69,1616.69,1616.69,1616.69,0,0,0,0.0
3762,2,4044.98,4836.24,3253.72,8089.96,0,1,0,0.0
3641,2,928.53,1517.47,339.59,1857.06,1,1,0,0.0
