transaction_id,customer_id,transaction_date,amount,merchant_category,transaction_type,location,is_fraud
1,3032,2022-02-10,3564.02,Entertainment,Transfer,Bangalore,0
2,4917,2023-03-21,2815.09,Retail,Credit,Hyderabad,0
3,4169,2023-06-10,1754.33,Travel,Transfer,Chennai,0
4,3027,2022-08-08,786.98,Healthcare,Transfer,Hyderabad,0
5,2917,2022-03-09,2473.94,Electronics,Credit,Mumbai,0
6,1215,2023-03-09,3921.03,Healthcare,Debit,Mumbai,0
7,3540,2022-02-16,3871.1,Electronics,Credit,Delhi,0
8,1026,2022-05-15,1465.55,Retail,Debit,Bangalore,0
9,1498,2023-02-07,1150.66,Retail,Transfer,Bangalore,0
10,1069,2023-11-22,2262.73,Retail,Transfer,Delhi,0
11,4133,2023-11-08,973.87,Food,Credit,Mumbai,0
12,1387,2023-02-02,3563.49,Retail,Debit,Delhi,0
13,2687,2023-01-31,1227.61,Food,Debit,Bangalore,0
14,1041,2022-10-13,172.73,Retail,Credit,Chennai,0
15,3900,2023-12-28,1733.79,Healthcare,Transfer,Hyderabad,0
16,3810,2023-04-25,1632.88,Retail,Credit,Mumbai,0
17,3238,2023-06-19,4458.07,Retail,Debit,Bangalore,0
18,1759,2022-08-17,4783.22,Healthcare,Transfer,Hyderabad,0
19,4966,2022-02-01,2348.91,Entertainment,Debit,Hyderabad,0
20,4712,2023-06-16,2940.75,Entertainment,Debit,Hyderabad,0
21,1479,2022-05-24,2206.21,Travel,Debit,Delhi,0
22,1540,2022-10-27,685.36,Food,Credit,Bangalore,0
23,2225,2023-09-29,3675.7,Electronics,Transfer,Delhi,0
24,2861,2023-06-08,4821.47,Retail,Debit,Chennai,0
25,2547,2022-02-15,3015.89,Travel,Credit,Hyderabad,0
26,1389,2023-08-21,3512.29,Food,Transfer,Bangalore,0
27,2866,2022-02-04,3975.08,Retail,Debit,Delhi,0
28,1308,2023-09-16,960.62,Electronics,Transfer,Bangalore,0
29,4757,2022-05-13,1645.98,Healthcare,Credit,Hyderabad,0
30,4588,2022-07-05,930.52,Entertainment,Credit,Delhi,0
31,3101,2022-10-17,2881.85,Electronics,Debit,Chennai,0
32,1874,2023-07-22,87.96,Food,Debit,Delhi,0
33,1391,2023-11-24,2885.51,Retail,Credit,Delhi,0
34,4062,2022-04-11,169.16,Retail,Debit,Delhi,0
35,2980,2022-03-05,4599.24,Healthcare,Credit,Bangalore,0
36,3588,2022-04-12,516.82,Entertainment,Credit,Mumbai,0
37,2706,2022-05-15,2423.8,Retail,Debit,Chennai,0
38,4485,2022-01-01,2755.84,Electronics,Credit,Mumbai,0
39,4702,2022-07-22,1488.94,Travel,Transfer,Chennai,0
40,4999,2023-09-22,2818.63,Travel,Transfer,Bangalore,0
41,4351,2023-10-09,1951.06,Electronics,Debit,Hyderabad,0
42,1169,2023-08-27,4822.61,Retail,Debit,Delhi,0
43,3770,2023-01-24,3210.17,Food,Credit,Chennai,0
44,1237,2022-09-02,2870.24,Entertainment,Credit,Mumbai,0
45,2040,2023-10-01,1457.74,Travel,Credit,Hyderabad,0
46,4338,2023-10-20,1751.78,Entertainment,Credit,Hyderabad,0
47,1477,2022-12-21,15.96,Entertainment,Transfer,Mumbai,0
48,3878,2022-05-30,3898.42,Food,Debit,Delhi,0
49,4986,2023-05-30,1033.04,Entertainment,Credit,Hyderabad,0
50,2966,2022-11-28,2450.08,Travel,Debit,Delhi,0
51,3083,2023-01-09,2150.8,Travel,Debit,Mumbai,0
52,3992,2022-10-05,1546.06,Travel,Transfer,Mumbai,0
53,3208,2023-06-23,3038.2,Entertainment,Credit,Mumbai,0
54,2185,2023-10-06,4656.92,Travel,Debit,Delhi,0
55,4605,2023-01-24,907.72,Entertainment,Debit,Chennai,0
56,4944,2023-02-22,2407.94,Entertainment,Debit,Delhi,0
57,2233,2022-09-04,492.41,Healthcare,Credit,Bangalore,0
58,1630,2023-06-06,1105.72,Entertainment,Credit,Mumbai,0
59,2274,2022-06-30,354.07,Travel,Credit,Mumbai,0
60,3946,2022-12-05,2798.12,Entertainment,Transfer,Mumbai,0
61,3947,2022-10-09,28.75,Travel,Credit,Mumbai,0
62,4968,2023-10-12,4793.66,Healthcare,Credit,Delhi,0
63,1441,2023-12-01,4915.71,Travel,Credit,Mumbai,0
64,2843,2022-04-11,4333.95,Retail,Debit,Chennai,0
65,2175,2022-06-21,2255.92,Electronics,Debit,Delhi,0
66,1240,2023-04-05,4887.35,Electronics,Credit,Bangalore,0
67,2214,2022-06-08,464.46,Retail,Credit,Mumbai,0
68,3217,2023-12-24,2614.18,Food,Transfer,Chennai,0
69,2644,2023-06-12,3892.39,Entertainment,Transfer,Delhi,0
70,4140,2022-05-26,978.11,Travel,Debit,Delhi,0
71,4257,2023-12-16,4087.3,Food,Credit,Mumbai,0
72,3212,2022-11-08,2014.28,Entertainment,Debit,Delhi,0
73,3121,2022-10-25,4295.29,Electronics,Transfer,Mumbai,0
74,4416,2022-01-06,4053.24,Travel,Credit,Bangalore,0
75,3698,2022-10-02,563.14,Food,Transfer,Bangalore,0
76,2969,2022-09-06,4237.06,Healthcare,Debit,Bangalore,0
77,2728,2022-07-29,2255.67,Food,Credit,Mumbai,0
78,4566,2023-10-27,1229.44,Travel,Transfer,Bangalore,0
79,4447,2023-12-28,3547.28,Travel,Transfer,Delhi,0
80,1827,2022-03-04,637.68,Food,Debit,Delhi,0
81,1937,2022-07-14,3253.19,Travel,Transfer,Mumbai,0
82,4668,2022-05-06,2698.88,Entertainment,Credit,Mumbai,0
83,1770,2022-09-15,2634.23,Electronics,Debit,Delhi,0
84,4637,2023-01-27,4565.31,Food,Transfer,Delhi,0
85,2211,2022-05-25,3674.09,Electronics,Credit,Mumbai,0
86,2412,2023-12-09,3914.52,Electronics,Transfer,Hyderabad,0
87,1822,2023-06-11,4749.89,Food,Transfer,Hyderabad,0
88,4113,2022-02-22,3479.23,Food,Credit,Hyderabad,0
